ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
270	91	0	1	0.000000	1.208791	1.208791	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
271	84	0	0	0.000000	2.011905	2.011905	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
272	99	0	0	0.000000	3.191919	3.191919	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
273	86	0	0	0.000000	1.581395	1.581395	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
274	57	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
275	86	0	0	0.000000	3.174419	3.174419	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
276	59	1	1	0.000000	1.050847	1.050847	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
277	41	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
278	86	0	0	0.000000	1.593023	1.593023	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
279	86	0	0	0.000000	2.139535	2.139535	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
280	86	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
281	79	0	0	0.000000	1.962025	1.962025	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
282	72	0	0	0.000000	1.944444	1.944444	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
283	44	0	0	0.000000	1.909091	1.909091	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
284	1	2	2	0.000000	8.000000	8.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
285	69	0	0	0.000000	1.797101	1.797101	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
286	89	0	0	0.000000	2.719101	2.719101	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
287	39	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
288	34	0	0	0.000000	1.882353	1.882353	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
289	68	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
290	54	0	0	0.000000	1.722222	1.722222	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
291	188	0	0	0.000000	2.691489	2.691489	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
292	81	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
293	104	0	0	0.000000	2.307692	2.307692	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
294	65	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
295	33	0	0	0.000000	1.515152	1.515152	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
296	35	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
297	84	0	0	0.000000	1.785714	1.785714	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
298	86	0	0	0.000000	1.813953	1.813953	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
299	86	0	0	0.000000	1.500000	1.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
300	84	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
301	61	0	1	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
302	109	0	0	0.000000	1.577982	1.577982	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
303	86	0	0	0.000000	1.825581	1.825581	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
304	66	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
305	15	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
306	73	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
